criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,MANUFACTURING,"Smartphone/ 6.57 inches display OLED, 1 CPU 101.66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",Consultation,3.9,"Smartphone/ 6,57 inches display OLED, 1 CPU 101,66 mm² 8 nm lithography, 7 GB RAM, 160 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,91
WATER_USE,USING,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",Consultation,3.29,"Smartphone/ 6,59 inches display LCD, 1 CPU 101,66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0
WATER_USE,TRANSPORTATION,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",Consultation,3.29,"Smartphone/ 6,59 inches display LCD, 1 CPU 101,66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0.019428974498664
WATER_USE,MANUFACTURING,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",Consultation,3.29,"Smartphone/ 6,59 inches display LCD, 1 CPU 101,66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,55.9
WATER_USE,END_OF_LIFE,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",Consultation,3.29,"Smartphone/ 6,59 inches display LCD, 1 CPU 101,66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,58.3
WATER_USE,USING,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",Consultation,4.56,"Smartphone/ 6,72 inches display OLED, 1 CPU 101,66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0
WATER_USE,TRANSPORTATION,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",Consultation,4.56,"Smartphone/ 6,72 inches display OLED, 1 CPU 101,66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0.007957344852812
WATER_USE,END_OF_LIFE,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",Consultation,4.56,"Smartphone/ 6,72 inches display OLED, 1 CPU 101,66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,58.3
WATER_USE,MANUFACTURING,"Smartphone/ 6.72 inches display OLED, 1 CPU 101.66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",Consultation,4.56,"Smartphone/ 6,72 inches display OLED, 1 CPU 101,66 mm² 7 nm lithography, 11 GB RAM, 341 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,78.4
WATER_USE,USING,smartphone-1,Consultation,3.29,"Smartphone/ 6.59 inches display LCD, 1 CPU 101.66 mm² 12 nm lithography, 6 GB RAM, 128 GB SSD",France,2-Equipement,NegaOctet-20220211,End-user/Terminals,Item,0
